Type_Attaquant,Type_Defenseur,Damages
Normal,Normal,1
Normal,Feu,1
Normal,Eau,1
Normal,Plante,1
Normal,Électrik,1
Normal,Glace,1
Normal,Combat,1
Normal,Poison,1
Normal,Sol,1
Normal,Vol,1
Normal,Psy,1
Normal,Insecte,1
Normal,Roche,0.5
Normal,Spectre,0
Normal,Dragon,1
Normal,Ténèbres,1
Normal,Acier,0.5
Normal,Fée,1
Feu,Normal,1
Feu,Feu,0.5
Feu,Eau,0.5
Feu,Plante,2
Feu,Électrik,1
Feu,Glace,2
Feu,Combat,1
Feu,Poison,1
Feu,Sol,1
Feu,Vol,1
Feu,Psy,1
Feu,Insecte,2
Feu,Roche,0.5
Feu,Spectre,1
Feu,Dragon,0.5
Feu,Ténèbres,1
Feu,Acier,2
Feu,Fée,1
Eau,Normal,1
Eau,Feu,2
Eau,Eau,0.5
Eau,Plante,0.5
Eau,Électrik,1
Eau,Glace,1
Eau,Combat,1
Eau,Poison,1
Eau,Sol,2
Eau,Vol,1
Eau,Psy,1
Eau,Insecte,1
Eau,Roche,2
Eau,Spectre,1
Eau,Dragon,0.5
Eau,Ténèbres,1
Eau,Acier,1
Eau,Fée,1
Plante,Normal,1
Plante,Feu,0.5
Plante,Eau,2
Plante,Plante,0.5
Plante,Électrik,1
Plante,Glace,1
Plante,Combat,1
Plante,Poison,0.5
Plante,Sol,2
Plante,Vol,0.5
Plante,Psy,1
Plante,Insecte,0.5
Plante,Roche,2
Plante,Spectre,1
Plante,Dragon,0.5
Plante,Ténèbres,1
Plante,Acier,0.5
Plante,Fée,1
Électrik,Normal,1
Électrik,Feu,1
Électrik,Eau,2
Électrik,Plante,0.5
Électrik,Électrik,0.5
Électrik,Glace,1
Électrik,Combat,1
Électrik,Poison,1
Électrik,Sol,0
Électrik,Vol,2
Électrik,Psy,1
Électrik,Insecte,1
Électrik,Roche,1
Électrik,Spectre,1
Électrik,Dragon,0.5
Électrik,Ténèbres,1
Électrik,Acier,1
Électrik,Fée,1
Glace,Normal,1
Glace,Feu,0.5
Glace,Eau,0.5
Glace,Plante,2
Glace,Électrik,1
Glace,Glace,0.5
Glace,Combat,1
Glace,Poison,1
Glace,Sol,2
Glace,Vol,2
Glace,Psy,1
Glace,Insecte,1
Glace,Roche,1
Glace,Spectre,1
Glace,Dragon,2
Glace,Ténèbres,1
Glace,Acier,0.5
Glace,Fée,1
Combat,Normal,2
Combat,Feu,1
Combat,Eau,1
Combat,Plante,1
Combat,Électrik,1
Combat,Glace,2
Combat,Combat,1
Combat,Poison,0.5
Combat,Sol,1
Combat,Vol,0.5
Combat,Psy,0.5
Combat,Insecte,0.5
Combat,Roche,2
Combat,Spectre,0
Combat,Dragon,1
Combat,Ténèbres,2
Combat,Acier,2
Combat,Fée,0.5
Poison,Normal,1
Poison,Feu,1
Poison,Eau,1
Poison,Plante,2
Poison,Électrik,1
Poison,Glace,1
Poison,Combat,1
Poison,Poison,0.5
Poison,Sol,0.5
Poison,Vol,1
Poison,Psy,1
Poison,Insecte,1
Poison,Roche,0.5
