
id,Pokémon,Type,Talent,Tier,PV,Atq,Def,Ats,Defs,Vit
1,Bulbizarre,"Plante
Poison","Engrais
Chlorophylle",LC,45,49,49,65,65,45
2,Herbizarre,"Plante
Poison","Engrais
Chlorophylle",NFE,60,62,63,80,80,60
3,Florizarre,"Plante
Poison","Engrais
Chlorophylle",PU,80,82,83,100,100,80
3,Méga Florizarre,"Plante
Poison",Isograisse,Untiered,80,100,123,122,120,80
3,Florizarre Gigamax,"Plante
Poison","Engrais
Chlorophylle",Untiered,80,82,83,100,100,80
4,Salamèche,Feu,"Brasier
Force Soleil",LC,39,52,43,60,50,65
5,Reptincel,Feu,"Brasier
Force Soleil",NFE,58,64,58,80,65,80
6,Dracaufeu,"Feu
Vol","Brasier
Force Soleil",ZU,78,84,78,109,85,100
6,Dracaufeu Gigamax,"Feu
Vol","Brasier
Force Soleil",Untiered,78,84,78,109,85,100
6,Méga Dracaufeu X,"Feu
Dragon",Griffe Dure,Untiered,78,130,111,130,85,100
6,Méga Dracaufeu Y,"Feu
Vol",Sécheresse,Untiered,78,104,78,159,115,100
7,Carapuce,Eau,"Torrent
Cuvette",LC,44,48,65,50,64,43
8,Carabaffe,Eau,"Torrent
Cuvette",NFE,59,63,80,65,80,58
9,Tortank,Eau,"Torrent
Cuvette",RUBL,79,83,100,85,105,78
9,Méga Tortank,Eau,Méga Blaster,Untiered,79,103,120,135,115,78
9,Tortank Gigamax,Eau,"Torrent
Cuvette",Untiered,79,83,100,85,105,78
10,Chenipan,Insecte,"Écran Poudre
Fuite",Untiered,45,30,35,20,20,45
11,Chrysacier,Insecte,Mue,Untiered,50,20,55,25,25,30
12,Papilusion,"Insecte
Vol","Oeil Composé
Lentiteintée",Untiered,60,45,50,90,80,70
12,Papilusion Gigamax,"Insecte
Vol","Oeil Composé
Lentiteintée",Untiered,60,45,50,90,80,70
13,Aspicot,"Insecte
Poison","Écran Poudre
Fuite",Untiered,40,35,30,20,20,50
14,Coconfort,"Insecte
Poison",Mue,Untiered,45,25,50,25,25,35
15,Dardargnan,"Insecte
Poison","Essaim
Sniper",Untiered,65,90,40,45,80,75
15,Méga Dardargnan,"Insecte
Poison",Adaptabilité,Untiered,65,150,40,15,80,145
16,Roucool,"Normal
Vol","Regard Vif
Pieds Confus
Coeur de Coq",Untiered,40,45,40,35,35,56
17,Roucoups,"Normal
Vol","Regard Vif
Pieds Confus
Coeur de Coq",Untiered,63,60,55,50,50,71
18,Roucarnage,"Normal
Vol","Regard Vif
Pieds Confus
Coeur de Coq",Untiered,83,80,75,70,70,101
18,Méga Roucarnage,"Normal
Vol",Annule Garde,Untiered,83,80,80,135,80,121
19,Rattata,Normal,"Fuite
Cran
Agitation",Untiered,30,56,35,25,35,72
19,Rattata d'Alola,"Ténèbres
Normal","Gloutonnerie
Agitation
Isograisse",Untiered,30,56,35,25,35,72
20,Rattatac,Normal,"Fuite
Cran
Agitation",Untiered,55,81,60,50,70,97
20,Rattatac d'Alola,"Ténèbres
Normal","Gloutonnerie
Agitation
Isograisse",Untiered,75,71,70,40,80,77
21,Piafabec,"Normal
Vol","Regard Vif
Sniper",Untiered,40,60,30,31,31,70
22,Rapasdepic,"Normal
Vol","Regard Vif
Sniper",Untiered,65,90,65,61,61,100
